random,cyclic,lipschitz,GS,GSL
5357075.10945,5555438.94352,5541501.88634,2174688.98905,1882163.04502
5357014.77961,5533991.84162,5540161.50074,2162816.52854,1866026.69853
5355015.50236,5533786.56511,5532255.80661,2144499.19328,1849945.42509
5354887.4391,5533635.2785,5502175.85948,2122578.24329,1834016.07683
5354294.18141,5531109.98088,5502166.19791,2111272.26886,1817591.11771
5353306.39032,5527950.26847,5502003.18328,2094672.04409,1801776.16553
5351394.65378,5519119.92849,5501989.45184,2089519.78814,1785245.58565
5351391.20273,5496127.50727,5501987.15749,2059798.75968,1770038.32894
5351357.91904,5495467.4902,5500847.57347,2041524.30446,1755138.72914
5350054.0563,5494983.95871,5292273.13423,2020704.37978,1738713.0342
5350037.48764,5487814.68646,5289089.41955,2006300.49472,1722708.31286
5348689.65587,5485399.74835,5288924.86621,1998073.61486,1706768.21374
5340878.97335,5483165.61543,5286628.65117,1988820.27469,1692490.23706
5327837.90423,5440536.89642,5252793.05323,1961919.46945,1678619.39791
5322269.93017,5435325.26192,5251281.34156,1951297.81645,1664704.48058
5314296.71455,5435323.0777,5248694.06852,1936531.38638,1649909.89175
5312798.65375,5406284.09268,5222676.18072,1933685.74043,1636129.26036
5293678.04316,5403511.49577,5207940.15744,1929905.95375,1620939.19477
5274486.97887,5394946.41581,5145398.95787,1921761.5137,1606694.6425
5273165.39261,5394231.18223,5145156.04621,1913487.04426,1593841.55727
5272793.44003,5383178.07888,5140948.79172,1893934.74254,1578557.06656
5270623.41343,5373341.95665,5118826.8089,1870521.89578,1563905.58672
5269311.84928,5370707.54785,5118613.16234,1861269.5537,1550040.47143
5267248.21414,5369875.04718,5101080.55602,1850659.77562,1536738.31094
5265474.25929,5369873.05066,5095732.01304,1825657.78999,1523626.91334
5222354.50408,5355052.26953,5095732.01304,1815647.34852,1510844.09028
5222349.47812,5352825.56027,4982575.50199,1807705.0232,1498158.26672
5222150.85081,5342445.81091,4973288.46405,1805374.54446,1486004.91171
5222089.39373,5334183.73453,4965687.25484,1792741.49668,1473249.37297
5219629.08983,5334163.16914,4944755.15332,1784015.886,1459962.8292
5219616.91347,5324468.93697,4936402.36875,1757881.43665,1446890.77981
5213874.42483,5321936.82171,4919912.17976,1735775.0272,1434988.10908
5203703.48579,5279764.19626,4919811.0466,1712090.04758,1422413.30175
5203679.01283,5279382.32216,4919697.18246,1685726.75276,1410772.82014
5191249.73884,5279380.79863,4913577.71375,1674438.15214,1399517.4039
5191148.34901,5266459.19493,4877674.28502,1664524.68989,1387932.68298
5186453.90513,5261029.92077,4876847.2592,1657449.67322,1377583.92916
5185992.75068,5252589.22626,4873801.64154,1633345.78217,1367200.11279
